NUMERO,FECHA,DNI,MATRICULA,IMPUESTO
100,1-01-2015,7771579779,235,0.1
101,1-01-2015,50534475787,237,0.12
102,1-01-2015,8502682733,236,0.13
103,1-01-2015,5840119709,235,0.14
104,1-01-2015,1471156710,235,0.15
105,1-01-2015,94387575700,236,0.1
106,1-01-2015,3623344710,237,0.2
107,1-01-2015,5576228758,236,0.3
108,1-01-2015,19290992743,237,0.12
109,1-01-2015,94387575700,236,0.13
110,1-01-2015,5840119709,235,0.14
111,1-01-2015,492472718,237,0.1
112,1-01-2015,5840119709,236,0.2
113,1-01-2015,50534475787,235,0.3
114,1-01-2015,94387575700,235,0.4
115,1-01-2015,94387575700,236,0.5
116,1-01-2015,50534475787,235,0.6
117,1-01-2015,8719655770,236,0.7
118,1-01-2015,2600586709,235,0.8
119,1-01-2015,3623344710,236,0.9
120,1-01-2015,3623344710,235,0.10
121,1-01-2015,3623344710,235,0.11
122,1-01-2015,5648641702,237,0.12
123,1-01-2015,50534475787,237,0.13
124,1-01-2015,94387575700,235,0.14
125,1-01-2015,5840119709,237,0.15
126,1-01-2015,7771579779,237,0.16
127,1-01-2015,8502682733,236,0.17
128,1-01-2015,5648641702,237,0.18
129,1-01-2015,5840119709,237,0.19
130,1-01-2015,5576228758,236,0.20
131,1-01-2015,5840119709,236,0.21
132,1-01-2015,5576228758,236,0.22
133,1-01-2015,5576228758,235,0.23
134,1-01-2015,1471156710,235,0.24
135,1-01-2015,5648641702,235,0.25
136,1-01-2015,50534475787,236,0.26
137,1-01-2015,19290992743,237,0.27
138,1-01-2015,5648641702,235,0.28
139,1-01-2015,50534475787,236,0.29
140,1-01-2015,2600586709,237,0.30
141,1-01-2015,8502682733,237,0.31
142,1-01-2015,3623344710,236,0.32
143,1-01-2015,8719655770,236,0.33
144,1-01-2015,50534475787,236,0.34
145,1-01-2015,19290992743,235,0.35
146,1-01-2015,5648641702,236,0.36
147,1-01-2015,492472718,236,0.37
148,1-01-2015,492472718,236,0.38
149,1-01-2015,94387575700,235,0.39
150,1-01-2015,9283760794,236,0.40
151,1-01-2015,8719655770,235,0.41
152,1-01-2015,19290992743,237,0.42
153,1-01-2015,5576228758,237,0.43
154,1-01-2015,50534475787,237,0.44
155,1-01-2015,8502682733,237,0.45
156,1-01-2015,2600586709,237,0.46
157,1-01-2015,94387575700,235,0.47
158,1-01-2015,5840119709,236,0.48
159,1-01-2015,7771579779,237,0.49
160,1-01-2015,2600586709,236,0.50
161,1-01-2015,5576228758,235,0.51
162,1-01-2015,5840119709,235,0.52
163,1-01-2015,7771579779,235,0.53
164,1-01-2015,8502682733,235,0.54
165,1-01-2015,1471156710,235,0.55
166,1-01-2015,8502682733,237,0.56
167,1-01-2015,5576228758,235,0.57
168,1-01-2015,5576228758,235,0.58
169,1-01-2015,5840119709,237,0.59
170,1-01-2015,5840119709,237,0.60
