NUMERO,FECHA,DNI,MATRICULA,IMPUESTO
100,2015-01-01,7771579779,235,0.1
101,2015-01-01,50534475787,237,0.12
102,2015-01-01,8502682733,236,0.13
103,2015-01-01,5840119709,235,0.14
104,2015-01-01,1471156710,235,0.15
105,2015-01-01,94387575700,236,0.1
106,2015-01-01,3623344710,237,0.2
107,2015-01-01,5576228758,236,0.3
108,2015-01-01,19290992743,237,0.12
109,2015-01-01,94387575700,236,0.13
110,2015-01-01,5840119709,235,0.14
111,2015-01-01,492472718,237,0.1
112,2015-01-01,5840119709,236,0.2
113,2015-01-01,50534475787,235,0.3
114,2015-01-01,94387575700,235,0.4
115,2015-01-01,94387575700,236,0.5
116,2015-01-01,50534475787,235,0.6
117,2015-01-01,8719655770,236,0.7
118,2015-01-01,2600586709,235,0.8
119,2015-01-01,3623344710,236,0.9
120,2015-01-01,3623344710,235,0.10
121,2015-01-01,3623344710,235,0.11
122,2015-01-01,5648641702,237,0.12
123,2015-01-01,50534475787,237,0.13
124,2015-01-01,94387575700,235,0.14
125,2015-01-01,5840119709,237,0.15
126,2015-01-01,7771579779,237,0.16
127,2015-01-01,8502682733,236,0.17
128,2015-01-01,5648641702,237,0.18
129,2015-01-01,5840119709,237,0.19
130,2015-01-01,5576228758,236,0.20
131,2015-01-01,5840119709,236,0.21
132,2015-01-01,5576228758,236,0.22
133,2015-01-01,5576228758,235,0.23
134,2015-01-01,1471156710,235,0.24
135,2015-01-01,5648641702,235,0.25
136,2015-01-01,50534475787,236,0.26
137,2015-01-01,19290992743,237,0.27
138,2015-01-01,5648641702,235,0.28
139,2015-01-01,50534475787,236,0.29
140,2015-01-01,2600586709,237,0.30
141,2015-01-01,8502682733,237,0.31
142,2015-01-01,3623344710,236,0.32
143,2015-01-01,8719655770,236,0.33
144,2015-01-01,50534475787,236,0.34
145,2015-01-01,19290992743,235,0.35
146,2015-01-01,5648641702,236,0.36
147,2015-01-01,492472718,236,0.37
148,2015-01-01,492472718,236,0.38
149,2015-01-01,94387575700,235,0.39
150,2015-01-01,9283760794,236,0.40
151,2015-01-01,8719655770,235,0.41
152,2015-01-01,19290992743,237,0.42
153,2015-01-01,5576228758,237,0.43
154,2015-01-01,50534475787,237,0.44
155,2015-01-01,8502682733,237,0.45
156,2015-01-01,2600586709,237,0.46
157,2015-01-01,94387575700,235,0.47
158,2015-01-01,5840119709,236,0.48
159,2015-01-01,7771579779,237,0.49
160,2015-01-01,2600586709,236,0.50
161,2015-01-01,5576228758,235,0.51
162,2015-01-01,5840119709,235,0.52
163,2015-01-01,7771579779,235,0.53
164,2015-01-01,8502682733,235,0.54
165,2015-01-01,1471156710,235,0.55
166,2015-01-01,8502682733,237,0.56
167,2015-01-01,5576228758,235,0.57
168,2015-01-01,5576228758,235,0.58
169,2015-01-01,5840119709,237,0.59
170,2015-01-01,5840119709,237,0.60
