NUMERO,FECHA,DNI,MATRICULA,IMPUESTO
100,01/01/2015,7771579779,235,"0,1"
101,01/01/2015,50534475787,237,"0,12"
102,01/01/2015,8502682733,236,"0,12"
103,01/01/2015,5840119709,235,"0,12"
104,01/01/2015,1471156710,235,"0,12"
105,01/01/2015,94387575700,236,"0,1"
106,01/01/2015,3623344710,237,"0,1"
107,01/01/2015,5576228758,236,"0,1"
108,01/01/2015,19290992743,237,"0,12"
109,01/01/2015,94387575700,236,"0,12"
110,01/01/2015,5840119709,235,"0,12"
111,01/01/2015,492472718,237,"0,1"
112,01/01/2015,5840119709,236,"0,12"
113,01/01/2015,50534475787,235,"0,1"
114,01/01/2015,94387575700,235,"0,1"
115,01/01/2015,94387575700,236,"0,12"
116,01/01/2015,50534475787,235,"0,1"
117,01/01/2015,8719655770,236,"0,12"
118,01/01/2015,2600586709,235,"0,12"
119,01/01/2015,3623344710,236,"0,1"
120,01/01/2015,3623344710,235,"0,1"
121,01/01/2015,3623344710,235,"0,12"
122,01/01/2015,5648641702,237,"0,1"
123,01/01/2015,50534475787,237,"0,12"
124,01/01/2015,94387575700,235,"0,12"
125,01/01/2015,5840119709,237,"0,12"
126,01/01/2015,7771579779,237,"0,12"
127,01/01/2015,8502682733,236,"0,12"
128,01/01/2015,5648641702,237,"0,12"
129,01/01/2015,5840119709,237,"0,12"
130,01/01/2015,5576228758,236,"0,12"
131,01/01/2015,5840119709,236,"0,12"
132,01/01/2015,5576228758,236,"0,1"
133,01/01/2015,5576228758,235,"0,12"
134,01/01/2015,1471156710,235,"0,12"
135,01/01/2015,5648641702,235,"0,12"
136,01/01/2015,50534475787,236,"0,1"
137,01/01/2015,19290992743,237,"0,12"
138,01/01/2015,5648641702,235,"0,1"
139,01/01/2015,50534475787,236,"0,1"
140,01/01/2015,2600586709,237,"0,12"
141,01/01/2015,8502682733,237,"0,1"
142,01/01/2015,3623344710,236,"0,1"
143,01/01/2015,8719655770,236,"0,12"
144,01/01/2015,50534475787,236,"0,12"
145,01/01/2015,19290992743,235,"0,1"
146,01/01/2015,5648641702,236,"0,12"
147,01/01/2015,492472718,236,"0,12"
148,01/01/2015,492472718,236,"0,1"
149,01/01/2015,94387575700,235,"0,12"
150,01/01/2015,9283760794,236,"0,12"
151,01/01/2015,8719655770,235,"0,1"
152,01/01/2015,19290992743,237,"0,1"
153,01/01/2015,5576228758,237,"0,12"
154,01/01/2015,50534475787,237,"0,1"
155,01/01/2015,8502682733,237,"0,1"
156,01/01/2015,2600586709,237,"0,1"
157,01/01/2015,94387575700,235,"0,1"
158,01/01/2015,5840119709,236,"0,1"
159,01/01/2015,7771579779,237,"0,12"
160,01/01/2015,2600586709,236,"0,1"
161,01/01/2015,5576228758,235,"0,1"
162,01/01/2015,5840119709,235,"0,12"
163,01/01/2015,7771579779,235,"0,1"
164,01/01/2015,8502682733,235,"0,1"
165,01/01/2015,1471156710,235,"0,1"
166,01/01/2015,8502682733,237,"0,1"
167,01/01/2015,5576228758,235,"0,1"
168,01/01/2015,5576228758,235,"0,1"
169,01/01/2015,5840119709,237,"0,12"
170,01/01/2015,5840119709,237,"0,12"
